item_id,order_id,product_id,quantity,price
1,1,17,3,1162
2,1,10,3,1509
3,2,18,2,1600
4,2,14,3,1934
5,2,7,3,1762
6,2,17,1,1162
7,3,14,3,1934
8,3,20,2,858
9,3,9,3,589
10,4,18,1,1600
11,4,13,2,1516
12,4,10,2,1509
13,5,17,3,1162
14,5,15,3,345
15,5,1,1,1915
16,6,18,1,1600
17,7,16,2,1299
18,8,11,3,884
19,8,1,1,1915
20,9,5,1,1786
21,9,9,3,589
22,9,14,2,1934
23,9,16,1,1299
24,10,16,3,1299
25,10,10,3,1509
26,10,2,1,725
27,10,3,3,1411
28,11,12,3,1227
29,12,16,3,1299
30,12,3,1,1411
31,12,14,1,1934
32,13,5,3,1786
33,13,10,3,1509
34,13,7,1,1762
35,14,8,3,254
36,14,9,3,589
37,14,4,3,953
38,14,16,1,1299
39,15,10,2,1509
40,15,17,3,1162
41,15,16,2,1299
42,15,13,3,1516
43,16,9,2,589
44,17,13,1,1516
45,18,19,1,1805
46,18,3,1,1411
47,18,20,1,858
48,19,14,2,1934
49,19,3,3,1411
50,20,10,3,1509
51,21,16,3,1299
52,21,20,2,858
53,21,4,1,953
54,21,8,3,254
55,22,13,2,1516
56,22,4,3,953
57,22,8,3,254
58,23,4,2,953
59,24,16,2,1299
60,24,1,3,1915
61,25,6,2,1061
62,25,16,1,1299
63,25,18,1,1600
64,25,17,2,1162
65,26,15,1,345
66,26,9,3,589
67,26,18,1,1600
68,26,12,2,1227
69,27,10,3,1509
70,27,11,2,884
71,28,20,1,858
72,29,4,2,953
73,29,16,1,1299
74,29,17,1,1162
75,30,12,1,1227
76,30,20,1,858
77,30,7,3,1762
78,31,14,2,1934
79,32,6,3,1061
80,33,14,3,1934
81,33,20,3,858
82,33,2,3,725
83,33,19,2,1805
84,34,6,2,1061
85,34,3,3,1411
86,35,14,2,1934
87,35,13,2,1516
88,36,9,2,589
89,37,15,1,345
90,37,5,1,1786
91,38,15,3,345
92,38,17,2,1162
93,38,9,1,589
94,39,11,1,884
95,40,7,1,1762
96,40,15,1,345
97,40,14,1,1934
98,40,12,2,1227
99,41,7,3,1762
100,41,3,2,1411
101,41,14,2,1934
102,41,4,3,953
103,42,5,2,1786
104,42,16,2,1299
105,43,19,2,1805
106,43,12,3,1227
107,43,8,3,254
108,44,11,1,884
109,44,1,2,1915
110,45,3,3,1411
111,45,16,1,1299
112,45,2,2,725
113,46,13,1,1516
114,47,20,3,858
115,47,13,1,1516
116,47,3,2,1411
117,48,14,2,1934
118,48,10,1,1509
119,48,15,2,345
120,49,3,3,1411
121,49,2,3,725
122,49,15,2,345
123,49,14,3,1934
124,50,17,3,1162
125,51,5,2,1786
126,51,1,2,1915
127,52,9,3,589
128,52,4,1,953
129,52,11,3,884
130,52,14,1,1934
131,53,12,1,1227
132,53,3,1,1411
133,54,8,2,254
134,54,16,2,1299
135,54,7,3,1762
136,55,13,2,1516
137,56,11,3,884
138,56,1,2,1915
139,57,1,2,1915
140,57,8,1,254
141,58,5,3,1786
142,58,20,3,858
143,58,11,1,884
144,58,7,2,1762
145,59,3,3,1411
146,60,14,2,1934
147,60,15,1,345
148,61,10,1,1509
149,61,14,2,1934
150,61,20,1,858
151,62,11,3,884
152,63,10,1,1509
153,64,18,2,1600
154,64,5,2,1786
155,64,14,2,1934
156,64,15,1,345
157,65,2,2,725
158,66,9,2,589
159,67,5,3,1786
160,67,13,1,1516
161,67,18,2,1600
162,68,1,2,1915
163,68,11,2,884
164,69,10,1,1509
165,70,1,1,1915
166,70,16,2,1299
167,70,10,2,1509
168,71,8,2,254
169,71,2,3,725
170,71,6,2,1061
171,72,1,3,1915
172,72,4,1,953
173,72,11,1,884
174,73,12,2,1227
175,74,18,2,1600
176,74,20,2,858
177,74,7,2,1762
178,74,16,1,1299
179,75,10,1,1509
180,75,19,3,1805
181,75,6,3,1061
182,75,13,1,1516
183,76,6,1,1061
184,77,5,2,1786
185,77,18,1,1600
186,78,17,2,1162
187,79,20,2,858
188,80,13,3,1516
189,80,1,3,1915
190,80,19,1,1805
191,80,18,2,1600
192,81,17,2,1162
193,81,2,2,725
194,81,6,3,1061
195,82,8,3,254
196,83,16,2,1299
197,83,1,2,1915
198,83,9,2,589
199,83,11,1,884
200,84,1,3,1915
201,85,18,3,1600
202,86,10,3,1509
203,86,3,1,1411
204,86,8,3,254
205,87,19,1,1805
206,88,16,1,1299
207,88,15,1,345
208,88,14,2,1934
209,88,5,2,1786
210,89,5,2,1786
211,89,20,1,858
212,90,19,2,1805
213,90,16,1,1299
214,90,3,1,1411
215,91,3,1,1411
216,91,20,3,858
217,91,14,2,1934
218,92,4,3,953
219,93,19,1,1805
220,93,9,3,589
221,94,6,3,1061
222,94,5,3,1786
223,95,6,2,1061
224,96,12,2,1227
225,96,9,2,589
226,96,15,3,345
227,97,17,1,1162
228,97,15,3,345
229,97,8,1,254
230,97,18,1,1600
231,98,1,1,1915
232,98,8,2,254
233,98,7,2,1762
234,98,16,1,1299
235,99,8,1,254
236,100,5,2,1786
237,100,13,3,1516
238,100,10,3,1509
239,100,19,1,1805
240,101,19,2,1805
241,101,18,2,1600
242,101,11,2,884
243,102,4,1,953
244,102,1,3,1915
245,102,5,2,1786
246,102,2,3,725
247,103,2,3,725
248,104,12,1,1227
249,104,10,3,1509
250,105,6,2,1061
251,106,2,2,725
252,106,11,1,884
253,106,7,3,1762
254,106,17,2,1162
255,107,11,2,884
256,107,16,1,1299
257,107,15,1,345
258,107,3,1,1411
259,108,7,1,1762
260,109,6,3,1061
261,110,11,2,884
262,110,19,3,1805
263,110,6,2,1061
264,111,11,1,884
265,112,5,1,1786
266,112,8,2,254
267,112,12,1,1227
268,113,13,3,1516
269,113,4,3,953
270,114,15,3,345
271,115,18,2,1600
272,115,9,2,589
273,115,19,3,1805
274,116,3,3,1411
275,116,19,3,1805
276,116,10,3,1509
277,117,1,2,1915
278,118,3,3,1411
279,118,11,3,884
280,118,12,3,1227
281,118,7,3,1762
282,119,19,3,1805
283,119,20,3,858
284,120,12,3,1227
285,121,3,3,1411
286,121,18,3,1600
287,121,10,2,1509
288,121,16,2,1299
289,122,20,3,858
290,122,15,3,345
291,122,19,3,1805
292,123,2,2,725
293,124,7,2,1762
294,125,14,3,1934
295,126,20,1,858
296,126,1,3,1915
297,126,19,3,1805
298,126,7,2,1762
299,127,1,3,1915
300,127,5,2,1786
301,127,14,2,1934
302,127,3,3,1411
303,128,10,2,1509
304,128,2,2,725
305,128,4,2,953
306,129,3,3,1411
307,129,1,1,1915
308,129,10,1,1509
309,129,15,3,345
310,130,14,3,1934
311,131,10,1,1509
312,132,7,1,1762
313,133,1,1,1915
314,133,10,1,1509
315,134,6,2,1061
316,134,5,2,1786
317,135,16,3,1299
318,136,5,3,1786
319,137,17,1,1162
320,137,12,3,1227
321,138,13,1,1516
322,138,14,3,1934
323,138,2,3,725
324,138,10,2,1509
325,139,4,3,953
326,139,18,3,1600
327,139,3,1,1411
328,139,14,1,1934
329,140,3,1,1411
330,140,13,1,1516
331,140,10,3,1509
332,140,5,2,1786
333,141,4,2,953
334,142,17,2,1162
335,142,15,1,345
336,142,10,3,1509
337,143,10,3,1509
338,144,3,3,1411
339,144,20,1,858
340,145,12,1,1227
341,145,13,1,1516
342,145,17,3,1162
343,145,7,1,1762
344,146,8,2,254
345,146,6,1,1061
346,146,9,3,589
347,147,16,3,1299
348,147,14,1,1934
349,148,6,3,1061
350,148,9,2,589
351,148,3,2,1411
352,148,17,1,1162
353,149,6,3,1061
354,149,17,1,1162
355,149,16,3,1299
356,150,12,3,1227
